,Attendance
2012-04,10085795
2012-05,12788090
2012-06,13484221
2012-07,12412394
2012-08,12942643
2012-09,13146125
2013-04,11327161
2013-05,12423877
2013-06,12753480
2013-07,12406872
2013-08,13261937
2013-09,11854903
2014-04,11680152
2014-05,12302345
2014-06,12731459
2014-07,12223770
2014-08,13174803
2014-09,11627093
2015-04,9572727
2015-05,12520745
2015-06,12507680
2015-07,12469423
2015-08,13267695
2015-09,13421750
2016-04,10353993
2016-05,12442396
2016-06,12408632
2016-07,12638405
2016-08,12623639
2016-09,12691979
2017-04,10949039
2017-05,11996648
2017-06,12530030
2017-07,12334811
2017-08,12513587
2017-09,12346310
2018-04,11222683
2018-05,11350922
2018-06,12076372
2018-07,11518482
2018-08,12052604
2018-09,11450209
2019-04,11623763
2019-05,11082073
2019-06,12027120
2019-07,11081296
2019-08,12028444
2019-09,10652199
2022-04,8210186
2022-05,10198737
2022-06,10801929
2022-07,11249630
2022-08,11589871
2022-09,12506305
2023-04,11342961
2023-05,11129758
2023-06,11787245
2023-07,11884189
2023-08,12340817
2023-09,12262395
