,Attendance
2013-04,5705194
2013-05,6787296
2013-06,7147273
2013-07,6809910
2013-08,7187828
2013-09,6870757
2014-04,5847702
2014-05,7270233
2014-06,6713150
2014-07,6259649
2014-08,7546982
2014-09,6422873
2015-04,4449237
2015-05,7771465
2015-06,6076771
2015-07,6884618
2015-08,7315486
2015-09,7608115
2016-04,5309711
2016-05,6874673
2016-06,6063417
2016-07,8217439
2016-08,6025452
2016-09,7458818
2017-04,5930612
2017-05,6180141
2017-06,6640912
2017-07,7799771
2017-08,5969529
2017-09,7608198
2018-04,5972877
2018-05,5991246
2018-06,6739802
2018-07,6951731
2018-08,6214916
2018-09,6958005
2019-04,6107905
2019-05,6211339
2019-06,6774312
2019-07,6147207
2019-08,6746573
2019-09,6377014
2022-04,4782070
2022-05,5682480
2022-06,5785093
2022-07,7425403
2022-08,5707293
2022-09,7268510
2023-04,6207195
2023-05,5945440
2023-06,6758713
2023-07,7679118
2023-08,6091508
2023-09,7544133
