Game ID,Date,Home Team,Away Team,Stadium Name,Attendance,Game Time (minutes)
446877,2016-04-03,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,39500.0,182.0
446911,2016-04-03,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,31042.0,171.0
446873,2016-04-03,Kansas City Royals,New York Mets,Kauffman Stadium,40030.0,193.0
446875,2016-04-04,Milwaukee Brewers,San Francisco Giants,Miller Park,44318.0,215.0
446872,2016-04-04,Baltimore Orioles,Minnesota Twins,Oriole Park at Camden Yards,45785.0,168.0
446876,2016-04-04,Texas Rangers,Seattle Mariners,Globe Life Park in Arlington,49289.0,158.0
446874,2016-04-04,Cincinnati Reds,Philadelphia Phillies,Great American Ball Park,43683.0,176.0
446879,2016-04-04,Atlanta Braves,Washington Nationals,Turner Field,48282.0,203.0
446871,2016-04-04,San Diego Padres,Los Angeles Dodgers,Petco Park,44317.0,190.0
446878,2016-04-04,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,15116.0,178.0
446869,2016-04-04,Arizona Diamondbacks,Colorado Rockies,Chase Field,48165.0,251.0
446889,2016-04-04,Los Angeles Angels,Chicago Cubs,Angel Stadium of Anaheim,44020.0,188.0
446868,2016-04-04,Oakland Athletics,Chicago White Sox,Oakland Coliseum,35067.0,176.0
446870,2016-04-04,New York Yankees,Houston Astros,Yankee Stadium,47820.0,197.0
446867,2016-04-04,Cleveland Indians,Boston Red Sox,Progressive Field,34493.0,193.0
446870,2016-04-05,New York Yankees,Houston Astros,Yankee Stadium,47820.0,197.0
446867,2016-04-05,Cleveland Indians,Boston Red Sox,Progressive Field,34493.0,193.0
446896,2016-04-05,Kansas City Royals,New York Mets,Kauffman Stadium,39782.0,171.0
446910,2016-04-05,Pittsburgh Pirates,St. Louis Cardinals,PNC Park,26049.0,207.0
446887,2016-04-05,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,12757.0,187.0
446883,2016-04-05,Miami Marlins,Detroit Tigers,Marlins Park,36911.0,227.0
446886,2016-04-05,Texas Rangers,Seattle Mariners,Globe Life Park in Arlington,28386.0,210.0
446885,2016-04-05,Milwaukee Brewers,San Francisco Giants,Miller Park,24123.0,149.0
446882,2016-04-05,Arizona Diamondbacks,Colorado Rockies,Chase Field,21830.0,194.0
446880,2016-04-05,Los Angeles Angels,Chicago Cubs,Angel Stadium of Anaheim,37042.0,154.0
446881,2016-04-05,Oakland Athletics,Chicago White Sox,Oakland Coliseum,10478.0,208.0
446884,2016-04-05,San Diego Padres,Los Angeles Dodgers,Petco Park,28329.0,156.0
446901,2016-04-06,Tampa Bay Rays,Toronto Blue Jays,Tropicana Field,14257.0,167.0
446898,2016-04-06,Milwaukee Brewers,San Francisco Giants,Miller Park,20098.0,199.0
446899,2016-04-06,Texas Rangers,Seattle Mariners,Globe Life Park in Arlington,26945.0,176.0
446891,2016-04-06,Arizona Diamondbacks,Colorado Rockies,Chase Field,18572.0,159.0
446892,2016-04-06,Miami Marlins,Detroit Tigers,Marlins Park,17883.0,202.0
