,Game Time (minutes)
Apr-13,183
May-13,182
Jun-13,183
Jul-13,185
Aug-13,186
Sep-13,185
Apr-14,188
May-14,189
Jun-14,187
Jul-14,188
Aug-14,187
Sep-14,186
Apr-15,178
May-15,175
Jun-15,177
Jul-15,181
Aug-15,185
Sep-15,185
Apr-16,184
May-16,182
Jun-16,185
Jul-16,184
Aug-16,184
Sep-16,186
Apr-17,187
May-17,189
Jun-17,189
Jul-17,190
Aug-17,187
Sep-17,187
Apr-18,187
May-18,183
Jun-18,182
Jul-18,186
Aug-18,183
Sep-18,186
Apr-19,187
May-19,186
Jun-19,189
Jul-19,192
Aug-19,190
Sep-19,194
Apr-22,187
May-22,188
Jun-22,187
Jul-22,187
Aug-22,186
Sep-22,183
Apr-23,158
May-23,160
Jun-23,162
Jul-23,162
Aug-23,163
Sep-23,166
