Date,new_cases
2013/4/1,0
2013/5/1,0
2013/6/1,0
2013/7/1,0
2013/8/1,0
2013/9/1,0
2014/4/1,0
2014/5/1,0
2014/6/1,0
2014/7/1,0
2014/8/1,0
2014/9/1,0
2015/4/1,0
2015/5/1,0
2015/6/1,0
2015/7/1,0
2015/8/1,0
2015/9/1,0
2016/4/1,0
2016/5/1,0
2016/6/1,0
2016/7/1,0
2016/8/1,0
2016/9/1,0
2017/4/1,0
2017/5/1,0
2017/6/1,0
2017/7/1,0
2017/8/1,0
2017/9/1,0
2018/4/1,0
2018/5/1,0
2018/6/1,0
2018/7/1,0
2018/8/1,0
2018/9/1,0
2019/4/1,0
2019/5/1,0
2019/6/1,0
2019/7/1,0
2019/8/1,0
2019/9/1,0
2020/4/1,857163
2020/5/1,755116
2020/6/1,821191
2020/7/1,1884228
2020/8/1,1524538
2020/9/1,1201705
2021/4/1,1832202
2021/5/1,981676
2021/6/1,385721
2021/7/1,1373312
2021/8/1,4114589
2021/9/1,4185050
2022/4/1,1163440
2022/5/1,2698000
2022/6/1,3066561
2022/7/1,3922935
2022/8/1,2879420
2022/9/1,1858371
2023/4/1,568838
2023/5/1,170425
2023/6/1,0
2023/7/1,0
2023/8/1,0
2023/9/1,0
