,Attendance
2013-04,5621967
2013-05,5636581
2013-06,5606207
2013-07,5596962
2013-08,6074109
2013-09,4984146
2014-04,5832450
2014-05,5032112
2014-06,6018309
2014-07,5964121
2014-08,5627821
2014-09,5204220
2015-04,5123490
2015-05,4749280
2015-06,6430909
2015-07,5584805
2015-08,5952209
2015-09,5813635
2016-04,5044282
2016-05,5567723
2016-06,6345215
2016-07,4420966
2016-08,6598187
2016-09,5233161
2017-04,5018427
2017-05,5816507
2017-06,5889118
2017-07,4535040
2017-08,6544058
2017-09,4738112
2018-04,5249806
2018-05,5359676
2018-06,5336570
2018-07,4566751
2018-08,5837688
2018-09,4492204
2019-04,5515858
2019-05,4870734
2019-06,5252808
2019-07,4934089
2019-08,5281871
2019-09,4275185
2022-04,3428116
2022-05,4516257
2022-06,5016836
2022-07,3824227
2022-08,5882578
2022-09,5237795
2023-04,5135766
2023-05,5184318
2023-06,5028532
2023-07,4205071
2023-08,6249309
2023-09,4718262
