,Attendance
2013-04,1595418
2013-05,1531219
2013-06,1787981
2013-07,1499212
2013-08,1663934
2013-09,1666579
2014-04,1671811
2014-05,1794748
2014-06,1544126
2014-07,1635286
2014-08,1827697
2014-09,1665750
2015-04,1263556
2015-05,1513408
2015-06,1626574
2015-07,1833679
2015-08,1633080
2015-09,1809033
2016-04,1466280
2016-05,1735733
2016-06,1522745
2016-07,1828627
2016-08,1509357
2016-09,1259966
2017-04,1738461
2017-05,1636701
2017-06,1525292
2017-07,1662862
2017-08,1616431
2017-09,1621471
2018-04,1603664
2018-05,1823828
2018-06,1683616
2018-07,1489953
2018-08,1722250
2018-09,1667950
2019-04,1713678
2019-05,1764086
2019-06,1863381
2019-07,1478231
2019-08,1743552
2019-09,1514258
2022-04,1193234
2022-05,1673026
2022-06,1613508
2022-07,1428105
2022-08,1620585
2022-09,1662866
2023-04,1523499
2023-05,1614343
2023-06,1590758
2023-07,1578905
2023-08,1628667
2023-09,1404554
