,Attendance
2013-04,847968
2013-05,666626
2013-06,836011
2013-07,802564
2013-08,959578
2013-09,793177
2014-04,777560
2014-05,852133
2014-06,926360
2014-07,786134
2014-08,895546
2014-09,869952
2015-04,736630
2015-05,767886
2015-06,876506
2015-07,715504
2015-08,848013
2015-09,762436
2016-04,666170
2016-05,790145
2016-06,805971
2016-07,789864
2016-08,701429
2016-09,766507
2017-04,678996
2017-05,723817
2017-06,829201
2017-07,761868
2017-08,685646
2017-09,679813
2018-04,455570
2018-05,457197
2018-06,522137
2018-07,562556
2018-08,698987
2018-09,645115
2019-04,448406
2019-05,513515
2019-06,558701
2019-07,661404
2019-08,629670
2019-09,544028
2022-04,406860
2022-05,448038
2022-06,433008
2022-07,427873
2022-08,565255
2022-09,478983
2023-04,554385
2023-05,502986
2023-06,524015
2023-07,613112
2023-08,586014
2023-09,556936
